House, EnergyProduction
1, 687.0174261575678
2, 530.3444190625836
3, 590.8002375607111
4, 453.8176939437037
5, 453.8176939437037
6, 632.6977799064587
7, 619.1590327350106
8, 557.6035213567822
9, 447.4445690000405
10, 468.52501322175533
11, 468.52501322175533
12, 632.6977799064587
13, 552.994400490235
14, 468.52501322175533
15, 687.0174261575678
16, 530.3444190625836
17, 570.683232629798
18, 526.0472289246759
19, 530.3444190625836
20, 468.4281746926613
21, 604.5579768651442
22, 557.6035213567822
23, 466.34944741029875
24, 632.6977799064587
25, 466.34944741029875
26, 610.4350665050231
27, 619.1590327350106
28, 658.2059382829704
29, 530.3444190625836
30, 520.5252635362156
31, 658.2059382829704
32, 520.5252635362156
33, 658.2059382829704
34, 428.96705163894575
35, 428.96705163894575
36, 552.994400490235
37, 590.8002375607111
38, 619.1590327350106
39, 526.0472289246759
40, 590.8002375607111
41, 520.5252635362156
42, 466.34944741029875
43, 604.5579768651442
44, 590.8002375607111
45, 610.4350665050231
46, 454.5619513742437
47, 468.52501322175533
48, 466.34944741029875
49, 468.52501322175533
50, 610.4350665050231
51, 468.52501322175533
52, 604.5579768651442
53, 530.3444190625836
54, 447.4445690000405
55, 590.8002375607111
56, 466.34944741029875
57, 502.413662522524
58, 519.4788140842029
59, 530.3444190625836
60, 658.2059382829704
61, 600.0757343407197
62, 520.5252635362156
63, 632.6977799064587
64, 468.52501322175533
65, 447.4445690000405
66, 552.994400490235
67, 687.0174261575678
68, 520.5252635362156
69, 468.4281746926613
70, 552.994400490235
71, 468.4281746926613
72, 570.683232629798
73, 454.5619513742437
74, 502.413662522524
75, 519.4788140842029
76, 530.3444190625836
77, 632.6977799064587
78, 519.4788140842029
79, 468.4281746926613
80, 519.4788140842029
81, 687.0174261575678
82, 632.6977799064587
83, 530.3444190625836
84, 530.3444190625836
85, 600.0757343407197
86, 773.0362154359623
87, 468.52501322175533
88, 468.52501322175533
89, 471.12374438217637
90, 632.6977799064587
91, 552.994400490235
92, 453.8176939437037
93, 453.8176939437037
94, 658.2059382829704
95, 610.4350665050231
96, 773.0362154359623
97, 468.4281746926613
98, 428.96705163894575
99, 447.4445690000405
100, 519.4788140842029
101, 526.0472289246759
102, 467.36728762210385
103, 604.5579768651442
104, 590.8002375607111
105, 570.683232629798
106, 658.2059382829704
107, 468.4281746926613
108, 447.4445690000405
109, 773.0362154359623
110, 687.0174261575678
111, 453.8176939437037
112, 557.6035213567822
113, 447.4445690000405
114, 530.3444190625836
115, 467.36728762210385
116, 466.34944741029875
117, 471.12374438217637
118, 632.6977799064587
119, 453.8176939437037
120, 453.8176939437037
121, 548.1147135882954
122, 604.5579768651442
123, 520.5252635362156
124, 570.683232629798
125, 557.6035213567822
126, 502.413662522524
127, 447.4445690000405
128, 619.1590327350106
129, 557.6035213567822
130, 530.3444190625836
131, 548.1147135882954
132, 604.5579768651442
133, 502.413662522524
134, 519.4788140842029
135, 552.994400490235
136, 548.1147135882954
137, 466.34944741029875
138, 453.8176939437037
139, 600.0757343407197
140, 502.413662522524
141, 619.1590327350106
142, 520.5252635362156
143, 468.4281746926613
144, 526.0472289246759
145, 552.994400490235
146, 526.0472289246759
147, 548.1147135882954
148, 468.4281746926613
149, 519.4788140842029
150, 548.1147135882954
151, 557.6035213567822
152, 773.0362154359623
153, 610.4350665050231
154, 519.4788140842029
155, 466.34944741029875
156, 463.44905890683685
157, 530.3444190625836
158, 552.994400490235
159, 454.5619513742437
160, 773.0362154359623
161, 658.2059382829704
162, 447.4445690000405
163, 570.683232629798
164, 467.36728762210385
165, 468.4281746926613
166, 604.5579768651442
167, 447.4445690000405
168, 467.36728762210385
169, 552.994400490235
170, 557.6035213567822
171, 548.1147135882954
