2013/01/01,00:00,79W
2013/01/01,00:05,71W
2013/01/01,00:10,6W
2013/01/01,00:15,11W
2013/01/01,00:20,2W
2013/01/01,00:25,87W
2013/01/01,00:30,66W
2013/01/01,00:35,90W
2013/01/01,00:40,30W
2013/01/01,00:45,55W
2013/01/01,00:50,72W
2013/01/01,00:55,63W
2013/01/01,01:00,83W
2013/01/01,01:05,38W
2013/01/01,01:10,66W
2013/01/01,01:15,35W
2013/01/01,01:20,83W
2013/01/01,01:25,91W
2013/01/01,01:30,27W
2013/01/01,01:35,48W
2013/01/01,01:40,75W
2013/01/01,01:45,86W
2013/01/01,01:50,81W
2013/01/01,01:55,47W
2013/01/01,02:00,38W
2013/01/01,02:05,43W
2013/01/01,02:10,20W
2013/01/01,02:15,2W
2013/01/01,02:20,70W
2013/01/01,02:25,62W
2013/01/01,02:30,53W
2013/01/01,02:35,70W
2013/01/01,02:40,56W
2013/01/01,02:45,13W
2013/01/01,02:50,41W
2013/01/01,02:55,52W
2013/01/01,03:00,44W
2013/01/01,03:05,47W
2013/01/01,03:10,65W
2013/01/01,03:15,31W
2013/01/01,03:20,2W
2013/01/01,03:25,66W
2013/01/01,03:30,6W
2013/01/01,03:35,22W
2013/01/01,03:40,71W
2013/01/01,03:45,25W
2013/01/01,03:50,46W
2013/01/01,03:55,77W
2013/01/01,04:00,42W
2013/01/01,04:05,44W
2013/01/01,04:10,97W
2013/01/01,04:15,76W
2013/01/01,04:20,56W
2013/01/01,04:25,20W
2013/01/01,04:30,59W
2013/01/01,04:35,97W
2013/01/01,04:40,88W
2013/01/01,04:45,82W
2013/01/01,04:50,2W
2013/01/01,04:55,26W
2013/01/01,05:00,50W
2013/01/01,05:05,48W
2013/01/01,05:10,48W
2013/01/01,05:15,72W
2013/01/01,05:20,35W
2013/01/01,05:25,81W
2013/01/01,05:30,52W
2013/01/01,05:35,0W
2013/01/01,05:40,33W
2013/01/01,05:45,55W
2013/01/01,05:50,18W
2013/01/01,05:55,23W
2013/01/01,06:00,4W
2013/01/01,06:05,15W
2013/01/01,06:10,74W
2013/01/01,06:15,77W
2013/01/01,06:20,71W
2013/01/01,06:25,28W
2013/01/01,06:30,93W
2013/01/01,06:35,18W
2013/01/01,06:40,26W
2013/01/01,06:45,55W
2013/01/01,06:50,11W
2013/01/01,06:55,42W
2013/01/01,07:00,18W
2013/01/01,07:05,64W
2013/01/01,07:10,52W
2013/01/01,07:15,91W
2013/01/01,07:20,8W
2013/01/01,07:25,26W
2013/01/01,07:30,73W
2013/01/01,07:35,30W
2013/01/01,07:40,0W
2013/01/01,07:45,34W
2013/01/01,07:50,32W
2013/01/01,07:55,74W
2013/01/01,08:00,40W
2013/01/01,08:05,66W
2013/01/01,08:10,97W
2013/01/01,08:15,1W
2013/01/01,08:20,24W
2013/01/01,08:25,59W
2013/01/01,08:30,89W
2013/01/01,08:35,65W
2013/01/01,08:40,25W
2013/01/01,08:45,6W
2013/01/01,08:50,53W
2013/01/01,08:55,38W
2013/01/01,09:00,99W
2013/01/01,09:05,48W
2013/01/01,09:10,79W
2013/01/01,09:15,50W
2013/01/01,09:20,98W
2013/01/01,09:25,75W
2013/01/01,09:30,7W
2013/01/01,09:35,14W
2013/01/01,09:40,80W
2013/01/01,09:45,21W
2013/01/01,09:50,85W
2013/01/01,09:55,89W
2013/01/01,10:00,4W
2013/01/01,10:05,78W
2013/01/01,10:10,57W
2013/01/01,10:15,8W
2013/01/01,10:20,82W
2013/01/01,10:25,70W
2013/01/01,10:30,9W
2013/01/01,10:35,54W
2013/01/01,10:40,47W
2013/01/01,10:45,64W
2013/01/01,10:50,31W
2013/01/01,10:55,60W
2013/01/01,11:00,62W
2013/01/01,11:05,95W
2013/01/01,11:10,33W
