"","x"
"1",753.070157178961
"2",583.113764327627
"3",710.330981467082
"4",509.418855397801
"5",509.418855397801
"6",625.990945390953
"7",677.719069938747
"8",552.253521552583
"9",504.963551482204
"10",474.069419450157
"11",474.069419450157
"12",625.990945390953
"13",550.684647903902
"14",474.069419450157
"15",753.070157178961
"16",583.113764327627
"17",570.341823492341
"18",523.446040800419
"19",583.113764327627
"20",478.734526016744
"21",681.268130893094
"22",552.253521552583
"23",477.492124534984
"24",625.990945390953
"25",477.492124534984
"26",679.297992643548
"27",677.719069938747
"28",724.943466737583
"29",583.113764327627
"30",522.91778446201
"31",724.943466737583
"32",522.91778446201
"33",724.943466737583
"34",536.934703048691
"35",536.934703048691
"36",550.684647903902
"37",710.330981467082
"38",677.719069938747
"39",523.446040800419
"40",710.330981467082
"41",522.91778446201
"42",477.492124534984
"43",681.268130893094
"44",710.330981467082
"45",679.297992643548
"46",505.135072976675
"47",474.069419450157
"48",477.492124534984
"49",474.069419450157
"50",679.297992643548
"51",474.069419450157
"52",681.268130893094
"53",583.113764327627
"54",504.963551482204
"55",710.330981467082
"56",477.492124534984
"57",553.962150294674
"58",525.773624562489
"59",583.113764327627
"60",724.943466737583
"61",597.987843446954
"62",522.91778446201
"63",625.990945390953
"64",474.069419450157
"65",504.963551482204
"66",550.684647903902
"67",753.070157178961
"68",522.91778446201
"69",478.734526016744
"70",550.684647903902
"71",478.734526016744
"72",570.341823492341
"73",505.135072976675
"74",553.962150294674
"75",525.773624562489
"76",583.113764327627
"77",625.990945390953
"78",525.773624562489
"79",478.734526016744
"80",525.773624562489
"81",753.070157178961
"82",625.990945390953
"83",583.113764327627
"84",583.113764327627
"85",597.987843446954
"86",883.249217688908
"87",474.069419450157
"88",474.069419450157
"89",474.133548035499
"90",625.990945390953
"91",550.684647903902
"92",509.418855397801
"93",509.418855397801
"94",724.943466737583
"95",679.297992643548
"96",883.249217688908
"97",478.734526016744
"98",536.934703048691
"99",504.963551482204
"100",525.773624562489
"101",523.446040800419
"102",474.401238003289
"103",681.268130893094
"104",710.330981467082
"105",570.341823492341
"106",724.943466737583
"107",478.734526016744
"108",504.963551482204
"109",883.249217688908
"110",753.070157178961
"111",509.418855397801
"112",552.253521552583
"113",504.963551482204
"114",583.113764327627
"115",474.401238003289
"116",477.492124534984
"117",474.133548035499
"118",625.990945390953
"119",509.418855397801
"120",509.418855397801
"121",554.867389900277
"122",681.268130893094
"123",522.91778446201
"124",570.341823492341
"125",552.253521552583
"126",553.962150294674
"127",504.963551482204
"128",677.719069938747
"129",552.253521552583
"130",583.113764327627
"131",554.867389900277
"132",681.268130893094
"133",553.962150294674
"134",525.773624562489
"135",550.684647903902
"136",554.867389900277
"137",477.492124534984
"138",509.418855397801
"139",597.987843446954
"140",553.962150294674
"141",677.719069938747
"142",522.91778446201
"143",478.734526016744
"144",523.446040800419
"145",550.684647903902
"146",523.446040800419
"147",554.867389900277
"148",478.734526016744
"149",525.773624562489
"150",554.867389900277
"151",552.253521552583
"152",883.249217688908
"153",679.297992643548
"154",525.773624562489
"155",477.492124534984
"156",482.452634751768
"157",583.113764327627
"158",550.684647903902
"159",505.135072976675
"160",883.249217688908
"161",724.943466737583
"162",504.963551482204
"163",570.341823492341
"164",474.401238003289
"165",478.734526016744
"166",681.268130893094
"167",504.963551482204
"168",474.401238003289
"169",550.684647903902
"170",552.253521552583
"171",554.867389900277
"172",474.133548035499
"173",625.990945390953
"174",724.943466737583
"175",474.069419450157
"176",477.492124534984
"177",753.070157178961
"178",525.773624562489
"179",724.943466737583
"180",525.773624562489
"181",583.113764327627
"182",554.867389900277
"183",553.962150294674
"184",679.297992643548
"185",753.070157178961
"186",505.135072976675
"187",724.943466737583
"188",523.446040800419
"189",710.330981467082
"190",753.070157178961
"191",525.773624562489
"192",710.330981467082
"193",583.113764327627
"194",553.962150294674
"195",677.719069938747
"196",554.867389900277
"197",478.734526016744
"198",477.492124534984
"199",523.446040800419
"200",677.719069938747
"201",504.963551482204
"202",478.734526016744
"203",509.418855397801
"204",552.253521552583
